name,classification,actor,director,score,year
小王子 Le Petit Prince,"动画,奇幻","杰夫·布里吉斯,麦肯吉·弗依,瑞秋·麦克亚当斯,瑞利·奥斯本,詹姆斯·弗兰科,玛丽昂·歌迪亚,本尼西奥·德尔·托罗,保罗·路德,艾伯特·布鲁克斯,巴德·库特,瑞奇·热维斯,保罗·吉亚玛提,杰奎·巴恩布鲁克,马塞尔·布里奇斯,杰菲·布莱尼恩",马克·奥斯本,8.0,2015
左耳,爱情,"陈都灵,欧豪,马思纯,杨洋,段博文,胡夏,关晓彤,包文婧,蒋雯丽,成泰燊,谢娜",苏有朋,5.4,2015
边境杀手 Sicario,"剧情,动作,犯罪","艾米莉·布朗特,本尼西奥·德尔·托罗,乔什·布洛林,维克多·加博,乔·博恩瑟,丹尼尔·卡卢亚,杰弗里·多诺万,劳尔·特鲁希洛,胡里奥·赛迪罗,汉克·罗杰森,马克斯米利亚诺·赫尔南德斯,艾伦·D·柏温,迪兰·科宁,马修·佩奇,约翰·彼得·贝尔纳多",丹尼斯·维伦纽瓦,7.4,2015
暗杀 암살,"剧情,动作,历史,犯罪","全智贤,李政宰,河正宇,吴达洙,赵震雄,李璟荣,崔德门,金义城,朴炳垠 ,陈庆,金海淑,曹承佑,河知元",崔东勋,8.0,2015
年轻气盛 Youth,"剧情,喜剧,爱情,音乐","蕾切尔·薇兹,简·方达,迈克尔·凯恩,保罗·达诺,哈威·凯特尔,内芙·加切夫,埃德·斯托帕德,马达丽娜·珍娜,马克·科兹莱克,亚历克斯·麦奎因,艾米莉亚·琼斯,波佩·科比-特曲,汤姆·里皮斯基,克洛伊·皮里",保罗·索伦蒂诺,8.1,2015
炙热 Parched,剧情,"阿迪勒·侯赛因,坦妮什塔·恰特洁,拉迪卡·艾普特,法鲁克·贾法尔,苏莉温.查瓦拉,萨米特·维亚斯",莉娜·亚达夫,8.6,2015
我是证人,"剧情,悬疑,犯罪","杨幂,鹿晗,王景春,朱亚文,刘芮麟,赖艺,柴蔚,李溪芮",安相勋,6.1,2015
八恶人 The Hateful Eight,"剧情,犯罪,西部","塞缪尔·杰克逊,库尔特·拉塞尔,詹妮弗·杰森·李,沃尔顿·戈金斯,德米安·比齐尔,蒂姆·罗斯,迈克尔·马德森,布鲁斯·邓恩,詹姆士·帕克斯,查宁·塔图姆,丹娜·格瑞尔,佐伊·贝尔,李·霍斯利",昆汀·塔伦蒂诺,8.3,2015
他是龙 Он - дракон,"爱情,奇幻,冒险","马特维·雷科夫,玛利亚·波兹哈娃,斯坦尼斯拉夫·柳布申,彼得·罗曼诺夫,列娃·安德烈瓦伊达,阿莲娜·契诃娃,维多利亚·伦佐娃",因达尔·詹杜巴耶夫,7.4,2015
海蒂和爷爷 Heidi,"剧情,家庭","阿努克·斯特芬,安娜·申斯,莉莲·奈福,布鲁诺·甘茨,克里斯托夫·高格勒,昆林·艾格匹,丽贝卡·因德穆,莫妮卡·古布瑟,阿瑟·比勒,彼得·罗美尔,卡塔琳娜·舒特勒,伊莎贝尔·奥特曼,杰拉·哈斯,玛丽埃塔·耶米,彼得·杰克林",阿兰·葛斯彭纳,8.9,2015
山河故人,"剧情,家庭","赵涛,张译,梁景东,董子健,张艾嘉,荣梓杉,梁永浩,刘陆,原文倩",贾樟柯,7.8,2015
妈妈的朋友 엄마친구,"剧情,喜剧,情色",,明锡焕,5.1,2015
星球大战7：原力觉醒 Star Wars: The Force Awakens,"动作,科幻,奇幻,冒险","黛西·雷德利,约翰·博耶加,哈里森·福特,多姆纳尔·格里森,亚当·德赖弗,马克·哈米尔,凯丽·费雪,奥斯卡·伊萨克,露皮塔·尼永奥,安迪·瑟金斯,安东尼·丹尼尔斯,彼德·梅犹,马克斯·冯·叙多,比利·迪·威廉姆斯,爱德华·斯皮伊尔斯,马修·詹姆斯·托马斯,肯尼·贝克,格温多兰·克里斯蒂,西蒙·佩吉,克里斯塔·克拉克,匹普·安德森",J·J·艾布拉姆斯,7.1,2015
龙虾 The Lobster,"剧情,喜剧,爱情,科幻","科林·法瑞尔,蕾切尔·薇兹,约翰·C·赖利,蕾雅·赛杜,奥利维娅·科尔曼,本·卫肖,亚里安妮·拉贝德,罗杰·阿什顿-格里菲斯,迈克尔·史麦利,杰西卡·巴登,阿戈利基·帕朴利亚",欧格斯·兰斯莫斯,7.5,2015
复仇者联盟2：奥创纪元 Avengers: Age of Ultron,"动作,科幻,奇幻,冒险","小罗伯特·唐尼,克里斯·海姆斯沃斯,马克·鲁弗洛,克里斯·埃文斯,斯嘉丽·约翰逊,杰瑞米·雷纳,詹姆斯·斯派德,塞缪尔·杰克逊,唐·钱德尔,亚伦·泰勒-约翰逊,伊丽莎白·奥尔森,保罗·贝坦尼,寇碧·史莫德斯,安东尼·麦凯,海莉·阿特维尔,伊德里斯·艾尔巴,斯特兰·斯卡斯加德,金秀贤,托马斯·克莱舒曼,安迪·瑟金斯,朱莉·德尔佩,斯坦·李,亨利·古德曼,多米尼克·普罗沃斯特-切克利,艾萨克·安德鲁斯",乔斯·韦登,7.1,2015
九层妖塔,"动作,惊悚,冒险","赵又廷,姚晨,凤小岳,李晨,唐嫣,冯瓅,李光洁,王庆祥,吴军,王德顺",陆川,4.2,2015
机械姬 Ex Machina,"剧情,科幻,悬疑,惊悚","奥斯卡·伊萨克,多姆纳尔·格里森,艾丽西亚·维坎德,克里·约翰逊,黛博拉·罗桑,李仙湖,水野索诺娅,Evie Wray",亚历克斯·加兰,7.5,2015
蚁人 Ant-Man,"动作,科幻,冒险","保罗·路德,迈克尔·道格拉斯,伊万杰琳·莉莉,寇瑞·斯托尔,迈克尔·佩纳,大卫·达斯马齐连,朱迪·格雷尔,鲍比·坎纳瓦尔,约翰·斯拉特里,伍德·哈里斯,T.I.,海莉·阿特维尔,瓦内萨·罗斯,马丁·唐文,乔·克里斯特,艾比·莱德·弗特森,安东尼·麦凯,加勒特·莫里斯,尼尔·汉博格,鲁德·哈利特,斯坦·李,克里斯·埃文斯,塞巴斯蒂安·斯坦",佩顿·里德,7.6,2015
道士下山,"喜剧,动作,奇幻,冒险,武侠,古装","王宝强,郭富城,张震,林志玲,范伟,元华,王学圻,吴建豪,陈国坤,林雪,董琦,李雪健,田壮壮,陈虎,房祖名",陈凯歌,5.4,2015
内在美 뷰티 인사이드,"剧情,爱情,奇幻","韩孝周,金大明,都枝寒,朴信惠,李凡秀,朴叙俊,金相浩,千禹熙,赵达焕,李阵郁,徐康俊,李栋旭,高雅星,金柱赫,柳演锡,上野树里,文淑,申东美,李在浚,李玹雨,金熙元",白宗烈,7.5,2015
中国城 차이나타운,剧情,"金惠秀,金高银,高庚杓,朴宝剑,严泰九,李秀卿,赵贤哲,赵福来,李代延,郑锡勇",韩俊熙,6.9,2015
布鲁克林 Brooklyn,"剧情,爱情","西尔莎·罗南,多姆纳尔·格里森,艾莫里·科恩,吉姆·布劳德本特,朱丽·沃特斯,艾米莉·理查兹,迈克尔·泽根,保利诺·努内斯,诺拉简·努恩,艾瑞卡·罗森鲍姆,詹·穆瑞,伊芙·麦凯林,安妮·尼·莫瑞,泰德·麦克马洪,杰西卡·帕尔,菲奥娜·格拉斯科特,布里德·布伦南,爱琳·奥伊金斯,彼得·坎皮恩,伊娃·柏西斯托",约翰·克劳利,7.7,2015
侏罗纪世界 Jurassic World,"动作,科幻,冒险","克里斯·普拉特,布莱丝·达拉斯·霍华德,文森特·多诺费奥,泰·辛普金斯,尼克·罗宾森,奥玛·赛,黄荣亮,伊尔凡·可汗,朱迪·格雷尔,杰克·约翰逊,劳伦·拉普库斯,凯蒂·麦格拉思,布莱恩·泰,埃迪·J.费尔南德斯,因德尔·库马尔,安迪·巴克利,吉米·法伦",科林·特雷沃罗,7.7,2015
一个勺子,"剧情,喜剧","陈建斌,蒋勤勤,王学兵,金世佳",陈建斌,7.7,2014
小萝莉的猴神大叔 Bajrangi Bhaijaan,"剧情,喜剧,动作,爱情","萨尔曼·汗,哈莎莉·马洛特拉,卡琳娜·卡普尔,纳瓦祖丁·席迪圭,埃朗·哈斯米",卡比尔·汗,8.7,2015
冲天,纪录片,,张钊维,9.0,2015
