name,classification,actor,director,score,year
Le grand jeu,剧情,"梅尔维尔·珀波,克蕾曼丝·波西,安德烈·杜索里埃,托马斯·夏布洛尔,Audrey Bastien,Lou Chauvain,Natasha Andrews,娜塔莉·理查德,Vanessa Larré,贝尔纳·维尔莱,苏菲‧卡达尼,Nicolas Wanczycki,安托万·夏佩,François Orsoni",Nicolas Pariser,,2015
超级少女(试播集) Supergirl Pilot,"动作,科幻","Melissa Benoist,Mehcad Brooks,Chyler Leigh,Jeremy Jordan,David Harewood,Calista Flockhart,Owain Yeoman",Glen Winter,,2015
潮与虎 うしおととら,"动作,动画,奇幻","畠中祐,小山力也,小松未可子,安野希世乃,茅野爱衣,坂本真绫,高垣彩阳,丰崎爱生,南里侑香,花泽香菜,藤原启治,牧野由依,水树奈奈,细谷佳正,潘惠美,浪川大辅,林原惠美",西村聪,7.7,2015
罚球线,动画,,张逸兴,7.1,2015
找不着北 Perdiendo el norte,喜剧,"荣·冈萨雷斯,朱利安·洛佩兹,布兰卡·苏亚雷兹,玛伦娜·阿特里奥,乌苏拉·科尔贝罗,米奇·艾斯巴尔贝,尤尼斯·贝希尔,哈维尔·卡马拉,卡勒梅·马奇,何塞·萨利科斯坦,埃琳娜·里韦拉,阿图罗·瓦尔斯",纳乔·G·贝利利亚,6.4,2015
纪实72小时 欢迎来到世界最大的古书迷宫 ドキュメント72時間 世界最大 古書の迷宮へようこそ,,,吹石一恵,,2015
狂热郁金香 Tulip Fever,"剧情,爱情","戴恩·德哈恩,克里斯托弗·沃尔兹,杰克·奥康奈尔,荷丽黛·格兰杰,艾丽西亚·维坎德,卡拉·迪瓦伊,扎克·加利凡纳基斯,朱迪·丹奇,汤姆·霍兰德,马修·莫里森,大卫·哈雷伍德,朱利安·西格尔,道格拉斯·霍奇斯,黛茜·洛薇,瑞德·李察",贾斯汀·查德维克,,2017
鲁保罗变装皇后秀 第七季 RuPaul's Drag Race Season 7,真人秀,,"RuPaul,Michelle Visage,Ross Mathews,Carson Kressley",8.3,2015
爱你，万缕千丝,"剧情,爱情,悬疑","黄圣依,高云翔,关智斌,张佩华,黎明明,雷诺儿,范春霞,白珊,邓安奇",李宝能,4.7,2015
邻家美人 美しい隣人,剧情,"仲间由纪惠,檀丽,三浦理惠子,铃木砂羽,南圭介,小林正宽,藤井美菜,青山春,武野功雄,渡部笃郎","今井和久,小松隆志,星野和成",7.0,2011
谍影重重2 The Bourne Supremacy,"动作,悬疑,冒险","马特·达蒙,弗兰卡·波坦特,布莱恩·考克斯,朱丽娅·斯蒂尔斯,卡尔·厄本,琼·艾伦,加布里埃尔·曼,马尔顿·索克斯,约翰·贝德福德·劳埃德,伊桑·桑德勒,米歇尔·莫纳汉,卡瑞尔·罗登,托马斯·阿拉纳,奥莎娜·阿金什那,汤姆·加洛普",保罗·格林格拉斯,8.5,2004
大话西游3,"喜剧,爱情,奇幻","韩庚,唐嫣,吴京,莫文蔚,张超,张瑶,王一博,钟欣潼,谢楠,何炅,胡静,黄征,刘镇伟,曹承衍,周艺轩,元奎",刘镇伟,3.7,2016
洛杉矶之战 Battle: Los Angeles,"动作,科幻,战争,灾难","艾伦·艾克哈特,米歇尔·罗德里格兹,拉蒙·罗德里格兹,布丽姬·穆娜,迈克尔·佩纳,威尔·罗斯海尔,科里·哈德里克,尼欧",乔纳森·里贝斯曼,6.0,2011
孤独的美食家 第一季·台湾篇,剧情,"赵文瑄,赵正平",江丰宏,4.5,2015
他们在岛屿写作：读中文系的人 他們在島嶼寫作：讀中文系的人,"剧情,传记",,"劉佩怡,齊怡",8.8,2015
伴娘先拜堂 Stop the Wedding,剧情,"Rachel Boston, Niall Matter, Lini Evans",Anne Wheeler,,2016
忍者杀手 ニンジャスレイヤー,"动作,动画","森川智之,速水奖,斋藤千和,雨宫天,种田梨沙,津嘉山正种,玄田哲章",雨宫哲,7.4,2015
地下同志生活阴暗角落 Chemsex,纪录片,,William Fairman,,2015
情妇 第三季 Mistresses Season 3,"剧情,惊悚","杰斯·麦卡兰,罗谢尔·阿耶斯,金允珍",Constantine Makris,7.3,2015
Travel Man: 48 Hours in... Season 1,纪录片,,理查德·艾欧阿德,8.3,2015
埃德蒙 Edmond,"剧情,喜剧,动画,短片,家庭",,Nina Gantz,7.7,2015
中国新声代 第三季,真人秀,,"李治廷 Aarif Lee,炎亚纶,黄子韬,张信哲,徐佳莹,华晨宇,谭维维,欧豪,李谷一,古巨基,魏晨,曹格,张杰",7.0,2015
梦中情人们 Traumfrauen,"喜剧,爱情","汉娜·赫斯普朗,卡洛琳·赫弗斯,埃利亚斯·穆巴里克,伊赫斯·贝尔本",Anika Decker,5.5,2015
扣扣熊晚间秀 Late Show with Stephen Colbert,"喜剧,脱口秀",史蒂芬·寇贝尔,CBS,8.7,2015
逗鸟外传：萌宝满天飞 Storks,"喜剧,动画","安迪·萨姆伯格,凯蒂·克朗,凯尔希·格兰莫,詹妮弗·安妮斯顿,泰·布利尔,科甘-迈克尔·凯,乔丹·皮尔,安东·斯塔克曼,丹尼·特雷霍,史蒂芬·克雷默·格利克曼","尼古拉斯·斯托勒,道格·斯威特兰德",7.5,2016
"宾夕法尼亚的斯德哥尔摩 Stockholm, Pennsylvania",剧情,,Nikole Beckwith,7.1,2014
极速风流 Rush,"剧情,传记,运动","克里斯·海姆斯沃斯,丹尼尔·布鲁赫,奥利维亚·王尔德,亚历山德拉·玛丽亚·拉那,娜塔莉·多默尔,汤姆·拉斯齐哈,约瑟芬·德·拉·波美,杰米·西弗斯,皮尔弗朗西斯科·法维诺,克里斯蒂安·麦凯,阿利斯泰·皮垂,丽贝卡·沃尔什,科林·斯廷顿",朗·霍华德,8.8,2013
鲁斯和亚历克斯 5 Flights Up,剧情,"摩根·弗里曼,黛安·基顿",理查德·隆克瑞恩,7.4,2014
天狗食月,"动画,短片",,郑丽凤,,2015
闪电侠 第一季 The Flash Season 1,"剧情,动作,科幻","格兰特·古斯汀,坎迪斯·帕顿,里克·考斯奈特,丹妮尔·帕娜贝克,卡洛斯·瓦尔德斯,汤姆·卡瓦纳夫,杰西·马丁,温特沃斯·米勒,罗伯特·克耐普,多米尼克·珀塞尔,玛莱斯·裘,约翰·韦斯利·希普,阿曼达·佩斯",大卫·努特尔,7.5,2014
别有动机,"动作,悬疑,犯罪","林家栋,秦岚,任达华,高圣远,刘威,苗雅宁,高鑫,屈菁菁,任山",黄岳泰,4.3,2015
黑白小姐 第二季 ミス・モノクローム 2期,"喜剧,动画","堀江由衣,藤原启治,神谷浩史,神田朱未,井上喜久子,atsuko,阿澄佳奈",岩崎良明,6.3,2015
菲利普船长 Captain Phillips,"剧情,传记,犯罪,冒险","汤姆·汉克斯,巴克德·阿巴蒂,巴哈德·阿布迪,法塞尔·阿迈德,马哈特·M·阿里,迈克尔·切鲁斯,克里·约翰逊,马克斯·马蒂尼,克里斯·马尔基,尤尔·瓦斯克斯,大卫·沃肖夫斯基",保罗·格林格拉斯,8.1,2013
亚美尼亚大地震 Землетрясение,"剧情,灾难","康斯坦丁·拉夫罗年科,玛丽亚·米罗诺娃,维克托·斯捷潘尼扬,塔特夫·欧夫基迈恩,米卡耶尔·波戈相,Michael Janibekyan,Sos Janibekyan,Armen Markaryan,Arevik Martirosyan,Asmik Aleksanyan,萨宾娜·阿克米多娃,Mikael Aramyan,Marjan Avetisyan,阿尔乔姆·贝斯特罗夫,Arsen Grigoryan",萨里·奥德赛耶,7.2,2016
缘：出云新娘 縁～THE BRIDE OF IZUMO～,剧情,"佐佐木希,井坂俊哉,平冈佑太",堀内博志,5.9,2015
第二个妈妈 Que Horas Ela Volta?,剧情,"Regina Casé,Antonio Abujamra,Helena Albergaria,Michel Joelsas,Luis Miranda,Lourenço Mutarelli,Camila Márdila,Karine Teles,Theo Werneck",安娜•穆拉尔特,7.8,2015
青藤 Sarmaşik,"剧情,惊悚,奇幻","纳迪尔·萨里巴恰克,哈坎·卡萨克,卡迪尔·瑟米克,阿兹古尔·埃姆雷·伊尔迪里姆",图尔加·卡拉塞利克,6.4,2015
北漂明星梦之血泪史,,,姜欣欣,,2015
海伦娜之路 The Duel,"剧情,西部","伍迪·哈里森,利亚姆·海姆斯沃斯,艾莉丝·布拉加,艾莫里·科恩,费利西蒂·普赖斯,威廉姆·赛德勒,克里斯托弗·杰姆斯·贝克,克里斯托弗·贝瑞,本尼迪克特·萨缪尔,基尔斯·马特蒂,拉法埃尔·沙巴拉格,杰森·卡特,大卫·博恩,劳伦斯·特纳,金佰利·伊达尔戈",基兰·达西-史密斯,5.7,2016
四年B班,家庭,"陳宇琛,蔣祖曼,郭鋒,梁寶琪,呂熙",蘇嘉敏,8.2,2014
末日+5,科幻,"陈锦鸿,姜皓文,潘灿良,龚慈恩,王宗尧,陆骏光,汤怡,林熹瞳,曾啟綸,鲍康儿,李芷琪,陈家乐,陳少邦,杨英伟,謝珊珊,麥子樂","黃國強,劉嘉璧,伍冠楨,黃思遠,朱礼和",7.8,2014
Kevin Bridges Live: A Whole Different Story,喜剧,凯文·布里吉斯,凯文·布里吉斯,,2015
亡国的阿基德第4章：憎恨记忆 コードギアス 亡国のアキト 第4章 憎しみの記憶から,动画,"入野自由,坂本真綾,日野聡,松岡禎丞,日笠陽子,福山潤,櫻井孝宏,ゆかな,寺島拓篤,伊瀬茉莉也,松風雅也",赤根和樹,5.4,2015
岁月楼情 歲月樓情,"剧情,爱情,传记","黄日华,夏雨,鲍起静,唐宁,关宝慧,林利,姜皓文,曾伟权,關伊彤,呂熙,陳堃,應昌佑,鮑康兒,黎彼得",黄国强,7.0,2015
进化岛 Évolution,"剧情,奇幻","罗珊妮·杜兰,茱莉-玛丽·帕芒提耶,尼西姆·勒纳尔",露西尔·哈兹哈利罗维克,5.8,2015
非常完美,真人秀,,"黄舒骏,王瑞,夏东豪,寇乃馨,黄嘉千",4.8,2014
"宝藏猎人久美子 Kumiko, the Treasure Hunter",剧情,"菊地凛子,大卫·泽尔纳",大卫·泽尔纳,6.8,2014
Dr.一安 닥터 이안,爱情,"金英光,朴山多拉",권혁찬,6.0,2015
埃德沃德·迈布里奇 Eadweard,剧情,"迈克尔·艾克朗德,莎拉·坎宁,克里斯托弗·赫耶达尔,查理·卡里克,乔迪·巴尔弗,托伦斯·库姆斯,科特·图尔顿,威廉·C·沃恩,伊安·崔西,乔希·艾普斯汀",凯尔·赖德奥特,,2015
四非,"悬疑,惊悚","周柏豪 ,李悦彤,廖启智,艾威",黄柏基,4.6,2015
男追女 第一季 Man Seeking Woman Season 1,喜剧,"杰伊·巴鲁切尔,埃里克·安德烈,瓦妮莎·贝尔,Britt Lower,James Preston Rogers,Maya Erskine,Jordan Claire Robbins,Masa Lizdek,Raeanna Guitard,Ashley Ross,Jeff Pangman,Jim Chad",Jonathan Krisel,7.9,2015
新我们这一家 新あたしンち,"喜剧,儿童","渡边久美子,阪口大助,折笠富美子,绪方贤一",小仓宏文,8.8,2015
五鼠闹东京,"剧情,动作,古装","陈晓,严屹宽,郑爽,张芷溪,谢宁,王茂蕾,梁冠华,马书良,刘德凯,李鑫雨,李添诺,王大奇,张维娜",吴家骀,5.5,2016
丛林大反攻4：吓傻了 Open Season: Scared Silly,"喜剧,动画",,劳伦斯·洛克 Lawrence Roeck,5.2,2015
快乐星球之三十六号,"科幻,儿童","郑好,廖景萱,贺双彬,赵克明,牛东文,李雪,张惠民,廖景萱 Jingxuan Liao,刘思雯,唐晨,翟爽,毛竹青",张惠民,,2013
杀手没有假期 In Bruges,"剧情,喜剧,犯罪","科林·法瑞尔,布莱丹·格里森,克蕾曼丝·波西,拉尔夫·费因斯,Rudy Blomme,伊丽莎白·贝林顿,奥利弗·邦泽,Mark Donovan,安·艾斯利,Jean-Marc Favorin,艾力克·高敦,泽利科·伊万内克,Sachi Kimura,安娜·玛德蕾 ,路易斯·纳米",马丁·麦克唐纳,8.1,2008
不眠的珍珠 眠れぬ真珠,爱情,,廣木隆一,6.3,2015
千金女贼,"剧情,爱情","唐嫣,刘恺威,杨蓉,杨祐宁,张萌,臧洪娜,邰智源,郭子渝,魏千翔,翟天临,郑毓芝 ","周晓鹏,马华干,陈玉珊",4.9,2015
怒火保镖 Wild Card,"剧情,动作,犯罪","杰森·斯坦森,迈克尔·安格拉诺,多米尼克·加西亚-洛里多,霍普·戴维斯,米洛·文堤米利亚,马克斯·凯塞拉,斯坦利·图齐,杰森·亚历山大,索菲娅·维加拉,安·海切,弗朗索瓦·温琴泰利,Chris Browning,马修·维利希,达文尼亚·麦克法登,迈克尔·帕帕约翰",西蒙·韦斯特,5.2,2015
Q10,"爱情,科幻","佐藤健,前田敦子,莲佛美沙子,贺来贤人,池松壮亮,田中裕二,药师丸博子,高畑充希",狩山俊輔,7.7,2010
精心维护 第一季 High Maintenance Season 1,喜剧,Ben Sinclair,Sarah-Violet Bliss,8.3,2012
灵臆事件,"惊悚,恐怖","朱雨辰,石天琦",刘宝贤,2.9,2015
宿醉2 The Hangover Part II,喜剧,"布莱德利·库珀,扎克·加利凡纳基斯,艾德·赫尔姆斯,杰米·钟,贾斯汀·巴萨,肯·郑,托德·菲利普斯,迈克·泰森,李淳",托德·菲利普斯,6.8,2011
麻雀,"剧情,悬疑","李易峰,周冬雨,张鲁一,李小冉,张若昀,阚清子,魏巍,尹正,王劲松,史超,刘珈彤,王婉娟,吴云飞","金琛,周远舟",6.3,2016
骨肉之躯 Flesh and Bone,剧情,"莎拉·海伊,本·丹尼尔斯,艾米莉·泰拉,Irina Dvorovenko,达蒙·海瑞曼,乔什·赫尔曼,Raychel Diane Weiner,蒂娜·本科,Clifton Duncan,Karell Williams,Alex Wong,Vanessa Aspillaga,托芙·菲尔德舒,帕特里克·佩奇,麦克·休斯顿,马塞林·休格特,Tobias Truvillion,勒内·大卫·伊弗拉",大卫·米奇欧德,8.0,2015
猛龙特囧 猛龍特囧,"喜剧,动作","胡耀辉,郑中基,雨侨,杨建平,王传君,张继聪,苏民峰,张驰,邹文正,何华超,田启文,梁嘉琪,刘江,郑子诚,黄建东,杨尚斌,张暖雅,温超",胡耀辉,4.3,2015
十万个冷笑话 第一季,"喜剧,动画","宝木中阳,山新,蒙蒙,皇贞季","卢恒宇,李姝洁",8.1,2012
闪亮茗天,"剧情,爱情",,"于中中,陈畅",5.1,2015
爱上朋友妈 第一季 Significant Mother Season 1,喜剧,"乔什·祖克曼,克里丝塔·艾伦,艾玛·菲茨帕特里克,乔纳森·斯沃曼,纳撒尼尔·布佐尼克","约翰·普奇,Tripp Reed",6.3,2015
Behind the White Glasses,纪录片,,Valerio Ruiz,,2015
三船敏郎：最后的武士 Mifune: Last Samurai,"纪录片,传记","三船敏郎,香川京子,加藤武,黑泽久雄,Shirô Mifune,中岛春雄,中岛贞夫,夏木阳介,二木照美,野上照代,基努·里维斯,佐藤忠男,马丁·斯科塞斯,史蒂文·斯皮尔伯格,役所广司,司叶子",史蒂文·冈崎,7.5,2015
创智赢家 第七季 Shark Tank Season 7,真人秀,,"马克·库班,阿什顿·库彻,Daymond John,Phil Crowley",,2015
神秘博士：瑞芙·桑恩的丈夫们 Doctor Who: The Husbands of River Song,科幻,"彼得·卡帕尔蒂,阿莉克丝·金斯顿,马特·卢卡斯",道格拉斯·麦金农,8.0,2015
悭钱家族,喜剧,"杨千嬅,陈奕迅,郑裕玲,曾志伟",赵崇基,6.1,2002
公主我最大 第二季 HBICtv Ultra Rich Asian Girls Season 2,真人秀,,Kevin K Li,4.7,2015
民国纸牌屋,纪录片,,凤凰卫视,,2015
丘吉尔-逝世50周年纪念 Churchill: The Nation’s Farewell,"纪录片,历史",Jeremy Paxman,John Hayes Fisher,7.7,2015
天外来客 The Whispers,"剧情,科幻","米洛·文堤米利亚,巴里·斯隆,莉莉·拉贝,艾比·莱德·弗特森,汤姆·巴特勒,杰西卡·哈蒙,达里恩·普罗沃斯特,卡塔利娜·丹尼斯,小特雷尔·兰森,奥图姆·瑞瑟,约翰·比灵斯列,布兰娜·布朗,斯宾塞·德雷弗,奥娜·格奥尔,李起弘,阿德托库姆布斯·麦克马克,马特·麦考伊,保罗·麦克吉莱恩,大卫·安德鲁,凯莱·罗杰斯,贾米森·琼斯,Morgan David Jones,阿德里安·霍夫,Jenn MacLean-Angus,Ken Tremblett,Raquel Bell,Victoria Bidewell,Gary Hershberger,Curtis Lum,Mig Macario,Shaughnessy Redden","马克·罗曼尼克,查尔斯·比森,布拉德·特纳,P.J. Pesce,霍莉·达尔",6.3,2015
音乐大师课 第一季,真人秀,,"杨钰莹,曹格,韩磊,林志炫",8.2,2015
疯狂的求婚 Loucas pra Casar,"喜剧,爱情","Ingrid Guimarães,Márcio Garcia,Tatá Werneck,Suzana Pires,Edmilson Filho",Roberto Santucci,,2015
青年霍元甲之冲出江湖,"剧情,动作","李浩轩,刘真君,郭常辉,黄诗佳,徐少强,计春华,午马,释行可,巩汉林,石兆琪",都晓,4.7,2015
植物男子阳台星人2 植物男子ベランダーシーズン2,,"田口智朗,松尾铃木,冈本梓, 安藤玉惠,谷内里早,渋谷さゆき,古馆宽治,小林竜树",望月一扶,7.2,2015
老大哥(美版) 第十七季 Big Brother(US) Season 17,真人秀,,Julie Chen,7.1,2015
再见仍是朋友 Enklava,"剧情,战争","米莱娜·杰克赛斯,米奥德拉格·克里沃卡帕奇,内博伊沙·格洛戈瓦茨,梅托·乔瓦诺维奇,拉什特科·扬科维奇,安妮卡·杜芭,内纳德·杰斯迪奇,戈兰·拉达克维奇,安娜·思迪布里克,拉多米尔·尼科利奇",戈兰·拉多万诺维奇,7.6,2015
黑暗物质 第一季 Dark Matter Season 1,"剧情,科幻,惊悚","Marc Bendavid,Melissa O'Neil,安东尼·莱姆克,Alex Mallari Jr.,祖蒂·弗兰,佐伊·帕尔默,鲁比·罗丝","Ron Murphy,T·J·斯科特",6.7,2015
极品新娘,"剧情,喜剧,古装","李沁,金世佳,高洋,徐海乔,王子,应昊茗,陆昱霖,熊乃瑾,包文婧,张逸杰","梁胜权,黄俊文,成志超",5.7,2015
魔镜,惊悚,"孙坚,周泓,金恩圣,李彩英","Pakphum Wongjinda,金成浩,彭发",5.0,2015
女武神驱动 ヴァルキリードライヴ マーメイド,"动作,动画","井口裕香,井泽美香子,久保由利香,芳野由奈,濑户麻沙美,田泽茉纯,大西沙织,浅仓杏美,原田瞳,井上喜久子",金子ひらく,6.1,2015
西游外传之八戒娶亲,"剧情,爱情,古装","任德勇,张绘辉",任德勇,,2015
隐藏身份 신분을 숨겨라,剧情,"金汎,朴圣雄,尹素怡,李元宗",金正民,6.8,2015
我们都为比尔着盛装 Bill Cunningham New York,"纪录片,传记",,理查德·普莱斯,9.1,2010
祖国 Родина,剧情,"帕沙·D.林奇尼科夫,彼得·费奥多罗夫,安德烈·梅尔兹利金,安德烈·斯莫利亚科夫,Lubov Novikova,Pawan Chopra,Yevgeniy Kartashov",Pyotr Buslov,,2015
谁是你的菜2015,短片,,钮承泽,8.3,2015
黑白小姐 第三季 ミス・モノクローム 3期,,"堀江由衣,藤原启治,神谷浩史",岩崎良明,6.5,2015
少狼 第五季 Teen Wolf Season 5,"剧情,喜剧,恐怖","泰勒·珀西,迪伦·欧布莱恩,泰勒·霍奇林,霍兰·罗登,迪伦·斯派比利,瑞恩·凯利","杰夫·戴维斯,布朗温·休斯,拉塞尔·穆卡希",7.3,2015
后藏,纪录片,,,,2015
法庭 Court,剧情,"Vira Sathidar,Vivek Gomber,Geetanjali Kulkarni",Chaitanya Tamhane,7.0,2014
十六公里长的夜 十六公里長的夜,"剧情,同性","林哲緯,于懷傑,江忠明",林建和,5.3,2015
银河护卫队 Guardians of the Galaxy,"喜剧,动作,科幻,冒险","克里斯·普拉特,佐伊·索尔达娜,布莱德利·库珀,范·迪塞尔,戴夫·巴蒂斯塔,李·佩斯,迈克尔·鲁克,凯伦·吉兰,杰曼·翰苏,本尼西奥·德尔·托罗,约翰·C·赖利,格伦·克洛斯,劳拉·哈德克,肖恩·冈,彼得·塞拉菲诺威茨,埃米特·斯坎伦,奥菲利亚·拉维邦德",詹姆斯·古恩,8.0,2014
放射海 Lichtes Meer,"剧情,同性","Martin Sznur,Jules Sagot,Katharina Melchior,Niels Melchior,Sarah Melchior",Stefan Butzmühlen,6.2,2015
莉莉与凯特 Lily & Kat,"剧情,喜剧","杰西卡·罗德,汉娜·穆雷,杰克·法拉赫,大卫·威尔逊·巴恩斯,Mimi Gianopulos,斯科特·埃文斯,Alesandra Assante,克里斯·里吉,伊丽莎白·布莱克摩尔,丹妮尔·戴娜蔻,Gregory Konow,Sue Jean Kim,Aicha Reid,Nick Raio,Indiana Tali",Micael Preysler,5.4,2015
美之壶-日本寿司之旅 美の壺-日本 すしの旅,纪录片,,"草刈正雄,木村多江",7.8,2014
诡眼 アイズ,,"伊藤万理华,おぞねせいこ,山田太一,中川慶二,遠藤康,山田朱莉,西洋亮,高橋健一,今野浩喜,小林愛奈,優恵",福田陽平,4.0,2015
恋爱理论 LOVE理論,剧情,"大野拓朗,片冈爱之助,清野菜名,武田真治,迫田孝也","西古屋竜太,太田憲一,岩下裕一郎,安食大輔,三宅優樹",5.5,2015
神盾局特工 第二季 Agents of S.H.I.E.L.D. Season 2,"剧情,动作,科幻","克拉克·格雷格,温明娜,布雷特·道顿,汪可盈,伊恩·德·卡斯泰克,伊丽莎白·亨斯屈奇,尼克·布拉德,里德·戴蒙德,西蒙·卡斯安德斯,露西·劳莱丝,凯尔·麦克拉克伦,阿德琳妮·帕里奇,亨利·西蒙斯,JB Tadena,迪辰·拉奇曼,卢克·米切尔",乔斯·韦登,8.2,2014
书写人生 The Girl in the Book,剧情,"艾米丽·万凯普,迈克尔·恩奎斯特,大卫·卡尔,迈克尔·克里斯托弗,塔利亚·巴尔萨姆,安娜·穆尔沃伊·滕,乔丹·拉戈,乔什·格林",Marya Cohn,6.4,2015
纪实72小时 传说中的赐福猫与商业街 ドキュメント72時間 ウワサの猫と商店街,"纪录片,短片",,吹石一惠,7.4,2015
家和万事兴 Belles familles,剧情,"嘉玛·陈,玛丽恩·瓦科特,马修·阿马立克,嘉莲·维雅,吉尔·勒卢什,安德烈·杜索里埃,妮可·加西亚,吉约姆·德·东克戴克,克劳德·佩龙,伊夫·雅克,Yvonne Gradelet,Jean-Marie Winling,Philippe Blondelle,Noël Hamann,François Patissier",让-保罗·拉佩纽,6.2,2015
天生杀人狂 Natural Born Killers,"剧情,动作,爱情,惊悚,犯罪","伍迪·哈里森,朱丽叶特·刘易斯,汤姆·塞兹摩尔,汤米·李·琼斯,小罗伯特·唐尼",奥利佛·斯通,8.0,1994
图书馆员 第二季 The Librarians Season 2,"剧情,喜剧,动作,奇幻,冒险",大卫·S.李,大卫·S.李,7.4,2015
秒速5厘米 秒速5センチメートル,"剧情,爱情,动画","水桥研二,近藤好美 ,尾上绫华,花村怜美,水野理纱",新海诚,8.4,2007
返乡的旅程 Piku,剧情,,Shoojit Sircar,6.7,2015
饥饿游戏 The Hunger Games,"动作,科幻,冒险","詹妮弗·劳伦斯,乔什·哈切森,利亚姆·海姆斯沃斯,韦斯·本特利,伊丽莎白·班克斯,斯坦利·图齐,伍迪·哈里森,伊莎贝拉·弗尔曼,阿曼德拉·斯坦伯格 ,薇洛·西尔德斯,唐纳德·萨瑟兰,亚历山大·路德韦格,莱文·兰宾,杰克·奎德",盖瑞·罗斯,6.7,2012
全美洗车女郎 All American Bikini Car Wash,喜剧,"Jack Cullison,Jason Lockhart,Kayla Collins,明迪·罗宾逊,艾丽卡·乔丹,Ashley Park,Scarlet Red,Emma Lane",Nimrod Zalmanowitz,3.4,2015
商务囧途 Unfinished Business,喜剧,"文斯·沃恩,汤姆·威尔金森,戴夫·弗兰科,西耶娜·米勒,琼·黛安·拉斐尔,尼克·弗罗斯特,詹姆斯·麦斯登,梅利莎·麦克米金,迈克尔·克罗贝,乌维·奥森耐特,克莱门特·冯·弗兰肯斯坦,苏珊·加比布托",肯·斯科特,6.0,2015
意外的恋爱时光,"喜剧,爱情","房祖名,郭采洁,于莎莎,陆弈静 Yi-Ching Lu,高圣远 Archie Kao,康恩赫 Enhe Kang,钱入富 Rufu Qian",黎志,5.7,2013
太平洋幽灵 Against the Sun,冒险,"汤姆·费尔顿,杰克·阿贝尔,加瑞特·迪拉胡特,Nadia Parra",Brian Falk,6.7,2014
逃亡僵尸岛 The Rezort,"科幻,恐怖","多格雷·斯科特,杰西卡·德·古维,马丁·麦凯恩",史蒂夫·巴克,5.4,2015
寄生兽 寄生獣,"剧情,动作,科幻,恐怖","染谷将太,深津绘里,阿部隆史,桥本爱,东出昌大,岩井秀人,山中崇,池内万作,丰原功补,大森南朋,北村一辉,余贵美子,国村隼,浅野忠信,新井浩文,皮埃尔泷",山崎贵,7.4,2014
Hello锦衣卫,短片,,秦教授,3.7,2015
地下室 Der Bunker,"剧情,喜剧,恐怖","皮特·布考斯基,Daniel Fripan,Oona von Maydell,David Scheller",Nikias Chryssos,7.0,2015
好女孩 착한 여자,,,경석호,3.8,2015
疑犯追踪 第三季 Person of Interest Season 3,"剧情,动作,悬疑","吉姆·卡维泽,迈克尔·爱默生,塔拉吉·P·汉森,凯文·查普曼,莎拉·夏希,艾米·阿克","大卫·塞梅尔,理查德·刘易斯",9.4,2013
囚徒 Prisoner,"剧情,短片,战争","Frederick Lau,Wyatt Russell",Matt Edwards,,2015
坏姐姐之拆婚联盟,"喜剧,爱情","陈意涵,池珍熙,陈学冬,钟丽缇,齐溪,李昕芸,禹惠林,刘仪伟,谢东燊,刘循子墨",金泰均,4.6,2014
黎明前的两个夜晚 2 yötä aamuun,"剧情,爱情","玛丽-乔西·克罗兹,米科·诺西艾南,雅丽·乔维尔",米科·古伯连伦,7.0,2015
徒步7分 徒歩7分,剧情,"田中丽奈,田中圭,福士诚治,菜叶菜,石野真子,青山美乡,鲇川桃果",中島由貴,8.0,2015
三个夏夜 쓰리 썸머 나잇,"喜剧,冒险","金东旭,林元熙,孙浩俊,尹宰文,柳贤静,沈恩真",金相辰,5.1,2015
电光超人古立特 boys invent great hero 電光超人グリッドマン boys invent great hero,"动画,短片",,雨宮哲,6.6,2015
大西北剿匪记,剧情,"侯勇,宁静",杨小波,,2017
明天 Demain,纪录片,"Anthony Barnosky,Olivier De Schutter,Emmanuel Druon,梅拉尼·罗兰","Cyril Dion,梅拉尼·罗兰",8.3,2015
海贼王特别篇萨博的故事 ワンピース エピソード オブ サボ ～3兄弟の絆 奇跡の再会と受け継がれる意志～,动画,"田中真弓,古谷彻,阪口大助,竹内顺子,中井和哉,冈村明美,山口胜平,平田广明,大谷育江,山口由里子,矢尾一树,宝龟克寿,神谷浩史,堀内贤雄,大场真人",古贺豪,8.0,2015
鬼神在干什么 귀신은 뭐하나,"爱情,悬疑","李准,赵秀香,吴尚镇",车英勋,6.3,2015
风之信 風のたより,"剧情,喜剧","新木優子,大杉漣,佐生雪,平田薫,柳俊太郎,井田國彦,秋本祐希,加藤雅也",向井宗敏,6.4,2015
胜者即是正义2 リーガルハイ2,"喜剧,悬疑,犯罪","堺雅人,新垣结衣,冈田将生,小雪,田口淳之介,黑木华,古馆宽治,广末凉子,生濑胜久,小池荣子,矢野圣人,里见浩太朗,铃木保奈美,松平健,小岛藤子,佐藤隆太,谷村美月,远野凪子,内田爱","石川淳一,城宝秀则,西坂瑞城",9.1,2013
摇摇晃晃的人间,"纪录片,传记",,范俭,8.5,2016
